代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	
000972	新中基	--  	14.70	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.70	--  	0	  0.00	食品	新疆	0.00	14.70	0	0	--  	0	0	--  	
000973	佛塑科技	-0.46	12.98	-0.06	12.97	12.98	844110	19635	0.77	         10.93	12.70	13.11	12.60	13.04	   258.78	1083649408	  0.60	塑料	广东	3.91	12.84	451338	392771	  1.15	267	4011	--  	
000975	银泰资源	-1.90	12.40	-0.24	12.40	12.41	108110	1002	-0.08	          1.93	12.48	12.90	12.27	12.64	    60.38	136188816	  0.80	铅锌	内蒙	4.98	12.60	61647	46463	  1.33	325	134	--  	
000976	*ST春晖	2.02	9.60	0.19	9.59	9.60	122014	6270	0.10	          2.08	9.39	9.60	9.34	9.41	--  	115996232	  0.84	化纤	广东	2.76	9.51	54360	67653	  0.80	113	155	--  	
000977	浪潮信息	-0.73	28.66	-0.21	28.66	28.69	177790	977	-0.20	          1.85	28.89	29.31	28.59	28.87	    66.84	514680448	  0.81	电脑设备	山东	2.49	28.95	94946	82843	  1.15	262	1	--  	
000978	桂林旅游	3.92	11.93	0.45	11.93	11.94	141969	1529	0.00	          3.94	11.48	12.12	11.37	11.48	   101.41	168398416	  1.85	旅游景点	广西	6.53	11.86	59669	82300	  0.73	1244	377	--  	
000979	中弘股份	-2.81	4.85	-0.14	4.85	4.86	742540	8161	-0.20	          2.42	4.92	4.94	4.83	4.99	    27.00	362373952	  0.63	区域地产	安徽	2.20	4.88	385795	356744	  1.08	608	3574	--  	
000980	金马股份	--  	6.20	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.20	    78.88	0	  0.00	电器仪表	安徽	0.00	6.20	0	0	--  	0	0	--  	
000981	银亿股份	--  	7.57	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.57	    41.48	0	  0.00	区域地产	甘肃	0.00	7.57	0	0	--  	0	0	--  	
000982	中银绒业	--  	4.64	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	4.64	   326.66	0	  0.00	纺织	宁夏	0.00	4.64	0	0	--  	0	0	--  	
000983	西山煤电	-1.78	6.06	-0.11	6.06	6.07	243334	2331	-0.16	          0.77	6.12	6.20	6.00	6.17	    47.39	148682416	  0.82	煤炭开采	山西	3.24	6.11	155616	87718	  1.77	483	1702	--  	
000985	大庆华科	-1.70	26.62	-0.46	26.61	26.62	28126	325	0.03	          2.17	27.20	27.72	26.31	27.08	--  	75574840	  0.70	化工原料	黑龙江	5.21	26.87	15590	12535	  1.24	48	109	--  	
000987	广州友谊	-1.81	27.60	-0.51	27.60	27.61	72669	674	-0.14	          2.03	27.90	28.11	27.40	28.11	    48.99	201649072	  0.53	百货	广东	2.53	27.75	41051	31618	  1.30	88	512	--  	
000988	华工科技	1.81	16.90	0.30	16.90	16.91	346317	4108	-0.23	          3.89	16.36	17.30	16.29	16.60	   103.24	581232512	  1.33	电器仪表	湖北	6.08	16.78	160380	185936	  0.86	551	558	--  	
000989	九 芝 堂	1.74	29.29	0.50	29.28	29.29	37038	199	-0.13	          1.24	28.79	30.10	28.70	28.79	    66.51	109442768	  1.06	中成药	湖南	4.86	29.55	19007	18030	  1.05	67	149	--  	
000990	诚志股份	-2.20	24.46	-0.55	24.45	24.46	69311	952	0.45	          2.33	25.00	25.18	24.01	25.01	   635.15	170344544	  1.17	化工原料	江西	4.68	24.58	37774	31536	  1.20	2	243	--  	
000993	闽东电力	0.30	10.07	0.03	10.06	10.07	105902	1274	0.19	          2.84	10.01	10.15	9.92	10.04	    45.67	106053608	  0.98	水力发电	福建	2.29	10.01	50810	55092	  0.92	631	24	--  	
000995	*ST皇台	5.03	13.99	0.67	13.99	--  	68592	345	0.00	          3.87	13.37	13.99	13.26	13.32	--  	94853952	  1.67	白酒	甘肃	5.48	13.83	31310	37282	  0.84	4119	0	--  	
000996	中国中期	-0.07	28.48	-0.02	28.47	28.48	204363	2497	-0.41	          8.89	28.20	29.44	27.86	28.50	   445.83	586052480	  0.98	公路	北京	5.54	28.68	105156	99207	  1.06	136	230	--  	
000997	新 大 陆	-0.99	23.03	-0.23	23.03	23.04	189306	1493	-0.04	          2.05	23.31	23.68	22.83	23.26	    61.94	441159360	  0.74	软件服务	福建	3.65	23.30	103324	85982	  1.20	785	23	--  	
000998	隆平高科	2.24	20.50	0.45	20.50	20.51	221114	5171	0.00	          2.66	19.99	20.56	19.60	20.05	   116.07	445409120	  1.38	种植业	湖南	4.79	20.14	107640	113474	  0.95	705	855	--  	
000999	华润三九	-1.85	26.00	-0.49	26.00	26.02	28947	1008	-0.19	          0.30	26.36	26.49	26.00	26.49	    23.04	75791208	  0.60	中成药	深圳	1.85	26.18	16973	11974	  1.42	169	3	--  	
001696	宗申动力	-1.94	14.69	-0.29	14.69	14.70	273206	2661	0.00	          3.08	14.95	15.19	14.55	14.98	    43.16	405113792	  0.82	摩托车	重庆	4.27	14.83	160770	112436	  1.43	534	777	--  	
001896	豫能控股	-2.39	14.72	-0.36	14.72	14.73	97121	686	-0.20	          2.26	15.19	15.30	14.51	15.08	    21.58	144137200	  0.78	火力发电	河南	5.24	14.84	58415	38705	  1.51	483	103	--  	
002001	新 和 成	2.53	16.62	0.41	16.61	16.62	140112	2314	-0.06	          1.31	16.13	16.85	16.01	16.21	    47.63	229227376	  1.28	化学制药	浙江	5.18	16.36	64595	75516	  0.86	1884	128	--  	
002002	鸿达兴业	0.00	25.41	0.00	25.41	25.42	127579	1802	-0.03	          3.29	25.30	25.74	25.16	25.41	    58.50	324501024	  0.64	塑料	江苏	2.28	25.44	71718	55860	  1.28	994	315	--  	
002003	伟星股份	0.05	18.96	0.01	18.96	18.97	266737	2548	0.00	          7.58	19.40	19.60	18.42	18.95	    28.87	508315232	  0.85	服饰	浙江	6.23	19.06	130844	135892	  0.96	553	421	--  	
002004	华邦健康	1.42	14.28	0.20	14.27	14.28	479055	5326	0.07	          3.79	14.04	14.56	13.91	14.08	    34.16	686130048	  1.17	化学制药	重庆	4.62	14.32	231485	247569	  0.94	366	380	--  	
002005	德豪润达	-2.48	9.43	-0.24	9.43	9.44	391296	3259	0.10	          3.36	9.58	9.63	9.29	9.67	   161.24	369585248	  0.96	家用电器	广东	3.52	9.45	217590	173705	  1.25	2355	147	--  	
002006	精功科技	-0.28	14.08	-0.04	14.07	14.08	172118	1231	-0.14	          5.85	14.00	14.36	13.50	14.12	   937.94	238414960	  0.84	工程机械	浙江	6.09	13.85	89104	83013	  1.07	43	1239	--  	
002007	华兰生物	0.02	40.73	0.01	40.73	40.74	50291	378	0.04	          1.00	40.48	41.08	40.25	40.72	    38.65	204327872	  0.78	生物制药	河南	2.04	40.63	28059	22231	  1.26	18	125	--  	
002008	大族激光	-2.40	24.36	-0.60	24.36	24.37	159152	881	0.04	          1.62	24.75	24.96	24.20	24.96	    31.55	390321344	  0.75	电器仪表	深圳	3.04	24.53	93994	65157	  1.44	194	202	--  	
002009	天奇股份	-1.19	18.28	-0.22	18.28	18.29	88234	925	0.00	          3.39	18.27	18.61	18.18	18.50	    87.60	162439536	  0.77	工程机械	江苏	2.32	18.41	49041	39192	  1.25	96	188	--  	
002010	传化股份	-3.31	21.93	-0.75	21.93	21.94	62198	474	-0.09	          1.51	22.77	22.80	21.81	22.68	   150.59	138499232	  0.83	染料涂料	浙江	4.37	22.27	39827	22371	  1.78	222	69	--  	
002011	盾安环境	0.70	14.34	0.10	14.33	14.34	185281	2141	-0.13	          2.21	14.21	14.48	14.02	14.24	   129.86	264238624	  0.94	工程机械	浙江	3.23	14.26	96715	88565	  1.09	124	550	--  	
002012	凯恩股份	5.13	9.02	0.44	9.01	9.02	307882	2085	0.00	          6.58	8.51	9.10	8.50	8.58	   153.47	272034208	  1.74	造纸	浙江	6.99	8.84	152078	155804	  0.98	9109	2863	--  	
002013	中航机电	0.94	22.58	0.21	22.58	22.59	174110	2259	-0.04	          4.57	22.30	23.10	22.20	22.37	    83.82	394800096	  1.01	汽车配件	湖北	4.02	22.68	85216	88893	  0.96	283	179	--  	
002014	永新股份	-1.76	20.04	-0.36	20.03	20.04	75339	1130	0.00	          2.33	20.08	20.75	19.52	20.40	    39.66	151234096	  0.79	塑料	安徽	6.03	20.07	42125	33214	  1.27	541	517	--  	
002015	*ST霞客	--  	7.19	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.19	    23.83	0	  0.00	化纤	江苏	0.00	7.19	0	0	--  	0	0	--  	
002016	世荣兆业	-0.67	13.41	-0.09	13.41	13.42	100264	3148	0.07	          1.55	13.36	13.70	13.24	13.50	   183.07	134770432	  0.48	区域地产	广东	3.41	13.44	49395	50869	  0.97	38	1100	--  	
002017	东信和平	-0.54	16.50	-0.09	16.50	16.51	88000	597	0.00	          2.59	16.50	16.88	16.40	16.59	   103.92	146391952	  0.75	通信设备	广东	2.89	16.64	49496	38503	  1.29	1028	10	--  	
002018	华信国际	--  	44.08	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	44.08	  3751.71	0	  0.00	农药化肥	安徽	0.00	44.08	0	0	--  	0	0	--  	
002019	亿帆鑫富	-1.25	27.63	-0.35	27.63	27.64	74974	2129	-0.39	          3.86	27.79	28.05	27.60	27.98	    31.09	208548320	  0.85	化学制药	浙江	1.61	27.82	37014	37960	  0.98	55	46	--  	
002020	京新药业	0.53	28.50	0.15	28.50	28.51	52079	459	0.17	          2.25	28.34	28.75	28.12	28.35	    42.44	148166768	  0.77	化学制药	浙江	2.22	28.45	25906	26172	  0.99	3	15	--  	
002021	中捷资源	2.19	12.58	0.27	12.58	12.59	177611	4540	0.39	          3.13	12.32	12.61	12.20	12.31	--  	220988336	  0.90	纺织机械	浙江	3.33	12.44	82740	94871	  0.87	479	1919	--  	
002022	科华生物	-0.72	28.99	-0.21	28.98	28.99	135551	1672	-0.03	          3.57	29.08	29.76	28.71	29.20	    58.76	396827296	  0.95	生物制药	上海	3.60	29.28	71397	64154	  1.11	17	168	--  	
002023	海特高新	-1.09	19.05	-0.21	19.04	19.05	106237	1388	0.00	          1.84	19.36	19.38	18.90	19.26	   235.95	203574832	  0.68	航空	四川	2.49	19.16	62688	43548	  1.44	28	350	--  	
002024	苏宁云商	-2.65	13.59	-0.37	13.59	13.60	1196098	17779	0.00	          2.38	13.86	13.90	13.50	13.96	  1418.69	1638253824	  0.73	电器连锁	江苏	2.87	13.70	601518	594580	  1.01	4366	5622	--  	
002025	航天电器	-2.40	26.01	-0.64	26.00	26.01	114102	849	0.03	          2.66	26.30	26.78	25.69	26.65	    48.46	299709376	  0.78	元器件	贵州	4.09	26.27	60573	53528	  1.13	263	581	--  	
002026	山东威达	10.04	14.47	1.32	14.47	--  	182058	75	0.00	          5.14	13.99	14.47	13.81	13.15	    73.35	257346992	  1.87	机械基件	山东	5.02	14.14	96723	85335	  1.13	86739	0	--  	
002027	七喜控股	0.54	50.27	0.27	50.26	50.27	197276	2148	-0.07	          9.63	49.00	52.98	48.50	50.00	--  	1005581632	  0.89	电脑设备	广东	8.96	50.97	95050	102226	  0.93	26	300	--  	
002028	思源电气	-1.34	15.47	-0.21	15.46	15.47	113388	1545	-0.19	          2.39	15.50	15.73	15.38	15.68	    30.64	176491120	  0.69	电气设备	上海	2.23	15.57	60569	52818	  1.15	115	255	--  	
002029	七 匹 狼	-2.26	12.56	-0.29	12.54	12.56	218895	878	0.72	          2.90	12.66	12.81	12.35	12.85	    39.14	275302912	  0.83	服饰	福建	3.58	12.58	131904	86990	  1.52	3	8	--  	
002030	达安基因	1.50	42.53	0.63	42.52	42.53	168799	1604	-0.07	          2.65	42.17	43.57	41.81	41.90	   266.57	722596800	  1.05	生物制药	广东	4.20	42.81	81272	87526	  0.93	27	181	--  	
002031	巨轮智能	-1.02	15.55	-0.16	15.54	15.55	370818	3716	-0.19	          5.54	15.64	15.99	15.26	15.71	    74.18	579034816	  0.87	汽车配件	广东	4.65	15.62	196761	174057	  1.13	27	64	--  	
002032	苏 泊 尔	-1.65	26.76	-0.45	26.76	26.77	16166	123	-0.14	          0.35	26.97	27.16	26.47	27.21	    19.94	43238828	  0.80	家用电器	浙江	2.54	26.75	8941	7224	  1.24	61	6	--  	
002033	丽江旅游	2.92	14.78	0.42	14.78	14.79	190258	4930	0.06	          4.50	14.26	14.84	14.17	14.36	    24.18	276515008	  1.23	旅游景点	云南	4.67	14.53	85445	104813	  0.82	185	758	--  	
002034	美 欣 达	0.10	42.09	0.04	42.00	42.09	32986	729	0.21	          5.42	42.20	43.00	40.70	42.05	   139.71	137814048	  0.77	纺织	浙江	5.47	41.78	17878	15108	  1.18	10	423	--  	
002035	华帝股份	0.00	17.00	0.00	17.00	17.01	42150	995	0.00	          1.48	17.04	17.14	16.59	17.00	    34.49	70758840	  0.72	家用电器	广东	3.24	16.79	16949	25200	  0.67	38	164	--  	
002036	汉麻产业	-3.43	29.55	-1.05	29.54	29.55	211070	4270	0.13	          8.25	30.40	31.16	29.40	30.60	    51.91	640467008	  0.55	服饰	浙江	5.75	30.34	113389	97680	  1.16	20	783	--  	
002037	久联发展	-1.36	24.75	-0.34	24.75	24.76	32209	407	-0.16	          0.98	25.10	25.24	24.40	25.09	    68.34	79686872	  0.58	化工原料	贵州	3.35	24.74	19820	12388	  1.60	71	162	--  	
002038	双鹭药业	1.70	35.86	0.60	35.85	35.86	119474	483	0.08	          2.11	35.20	36.84	35.01	35.26	    35.70	432617056	  1.07	生物制药	北京	5.19	36.21	61825	57649	  1.07	23	535	--  	
002039	黔源电力	-0.48	18.66	-0.09	18.65	18.66	51036	313	0.05	          1.67	18.55	18.89	18.50	18.75	    16.33	95353192	  0.81	水力发电	贵州	2.08	18.68	29126	21909	  1.33	270	86	--  	
002040	南 京 港	--  	15.16	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.16	   184.24	0	  0.00	港口	江苏	0.00	15.16	0	0	--  	0	0	--  	
002041	登海种业	2.07	16.79	0.34	16.79	16.80	114580	1775	0.05	          1.31	16.39	16.88	16.17	16.45	    61.77	189635632	  1.18	种植业	山东	4.32	16.55	53792	60787	  0.88	554	977	--  	
002042	华孚色纺	-2.22	13.23	-0.30	13.23	13.24	131761	1689	-0.15	          1.58	13.27	13.88	13.15	13.53	    28.42	177191072	  0.65	纺织	安徽	5.40	13.45	71358	60403	  1.18	474	202	--  	
002043	兔 宝 宝	4.50	15.80	0.68	15.79	15.80	648791	8404	0.12	         13.82	15.25	16.30	14.75	15.12	   100.34	1003076672	  1.08	其他建材	浙江	10.25	15.46	298555	350236	  0.85	225	5103	--  	
002044	江苏三友	--  	30.87	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	30.87	   356.98	0	  0.00	服饰	江苏	0.00	30.87	0	0	--  	0	0	--  	
002045	国光电器	2.24	21.93	0.48	21.92	21.93	243597	2796	0.00	          5.87	22.10	22.50	21.10	21.45	   243.05	532881952	  0.94	元器件	广东	6.53	21.88	108744	134852	  0.81	20	39	--  	
002046	轴研科技	1.98	11.83	0.23	11.82	11.83	80152	1500	0.00	          2.35	11.54	11.95	11.43	11.60	--  	94367608	  0.80	机械基件	河南	4.48	11.77	38442	41710	  0.92	200	123	--  	
002047	宝鹰股份	-1.13	10.47	-0.12	10.47	10.48	143996	1619	0.00	          2.11	10.60	10.75	10.40	10.59	    38.86	152446752	  0.72	装修装饰	深圳	3.30	10.59	79690	64306	  1.24	843	829	--  	
002048	宁波华翔	--  	17.40	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	17.40	    35.04	0	  0.00	汽车配件	浙江	0.00	17.40	0	0	--  	0	0	--  	
002049	同方国芯	-1.90	58.20	-1.13	58.20	58.21	153942	3066	0.06	          3.20	59.00	60.97	57.00	59.33	   100.29	909776448	  0.93	元器件	河北	6.69	59.10	80876	73065	  1.11	63	9	--  	
002050	三花股份	1.65	9.86	0.16	9.85	9.86	279808	2349	0.00	          1.84	9.68	10.08	9.60	9.70	    25.47	276599232	  1.16	机械基件	浙江	4.95	9.89	144039	135769	  1.06	2122	300	--  	
002051	中工国际	-1.80	23.42	-0.43	23.41	23.42	65754	288	0.04	          0.86	23.85	23.85	23.05	23.85	    23.49	153650176	  0.85	建筑施工	北京	3.35	23.37	35857	29896	  1.20	10	500	--  	
002052	同洲电子	--  	12.38	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.38	   523.93	0	  0.00	通信设备	深圳	0.00	12.38	0	0	--  	0	0	--  	
002053	云南盐化	--  	25.84	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	25.84	    71.78	0	  0.00	化工原料	云南	0.00	25.84	0	0	--  	0	0	--  	
002054	德美化工	2.03	13.06	0.26	13.06	13.07	188379	1446	0.00	          5.97	12.80	13.38	12.70	12.80	    13.43	247043024	  1.75	化工原料	广东	5.31	13.11	91548	96831	  0.95	1304	550	--  	
002055	得润电子	0.26	39.11	0.10	39.10	39.11	194857	1400	-0.02	          4.84	39.01	40.30	38.39	39.01	   138.72	766828288	  1.16	元器件	深圳	4.90	39.35	94008	100848	  0.93	148	1238	--  	
002056	横店东磁	-1.38	25.78	-0.36	25.51	25.78	78606	1857	1.13	          1.91	26.00	26.11	25.17	26.14	    29.90	201969440	  0.68	元器件	浙江	3.60	25.69	49263	29342	  1.68	20	19	--  	
002057	中钢天源	-0.33	15.07	-0.05	15.06	15.07	79614	722	0.19	          3.99	15.10	15.33	14.93	15.12	   158.29	120363536	  0.92	元器件	安徽	2.65	15.12	40531	39083	  1.04	1133	28	--  	
002058	威 尔 泰	0.97	25.00	0.24	24.98	25.00	50809	3150	-1.38	          3.54	24.48	25.53	24.25	24.76	--  	127198864	  1.65	电器仪表	上海	5.17	25.03	23642	27166	  0.87	5	1173	--  	
002059	云南旅游	-0.95	11.44	-0.11	11.42	11.44	40837	785	0.35	          0.95	11.40	11.50	11.25	11.55	   137.36	46459620	  0.81	旅游景点	云南	2.16	11.38	22586	18250	  1.24	145	77	--  	
002060	粤 水 电	0.30	10.08	0.03	10.08	10.09	371449	3376	-0.29	          6.18	10.16	10.27	9.93	10.05	    67.59	374957824	  1.26	建筑施工	广东	3.38	10.09	198762	172687	  1.15	3396	3223	--  	
002061	江山化工	--  	6.73	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.73	--  	0	  0.00	化工原料	浙江	0.00	6.73	0	0	--  	0	0	--  	
002062	宏润建设	-1.34	9.54	-0.13	9.54	9.55	96520	2001	0.00	          1.44	9.63	9.64	9.41	9.67	    37.19	92073888	  0.71	建筑施工	浙江	2.38	9.54	55108	41412	  1.33	155	591	--  	
002063	远光软件	-3.18	23.44	-0.77	23.43	23.44	239028	1254	-0.04	          4.72	23.90	24.18	23.18	24.21	    85.58	563659200	  0.51	软件服务	广东	4.13	23.58	123271	115757	  1.06	1149	200	--  	
002064	华峰氨纶	-2.10	6.53	-0.14	6.53	6.54	253703	2848	-0.15	          1.68	6.60	6.67	6.52	6.67	    32.36	167178512	  0.68	化纤	浙江	2.25	6.59	142849	110853	  1.29	1035	137	--  	
002065	东华软件	-2.24	22.21	-0.51	22.21	22.22	206690	2194	0.00	          1.55	22.45	22.73	22.11	22.72	    43.31	462791616	  0.80	软件服务	北京	2.73	22.39	126449	80241	  1.58	450	271	--  	
002066	瑞泰科技	-2.80	20.13	-0.58	20.13	20.14	85988	1854	-0.04	          3.72	20.43	20.90	19.95	20.71	--  	175800672	  0.84	其他建材	北京	4.59	20.44	47307	38681	  1.22	422	223	--  	
002067	景兴纸业	5.28	10.56	0.53	10.55	10.56	1560881	16713	0.18	         16.25	9.97	10.87	9.90	10.03	  1188.57	1619040000	  1.60	造纸	浙江	9.67	10.37	707733	853148	  0.83	1631	1591	--  	
002068	黑猫股份	-2.52	8.88	-0.23	8.88	8.89	191442	1844	-0.11	          3.15	9.05	9.18	8.78	9.11	   241.97	171377072	  0.55	化工原料	江西	4.39	8.95	112151	79291	  1.41	636	168	--  	
002069	獐 子 岛	2.02	14.14	0.28	14.14	14.15	218478	2510	0.14	          3.21	13.73	14.55	13.58	13.86	  2200.76	306043296	  1.05	渔业	辽宁	7.00	14.01	110840	107637	  1.03	114	439	--  	
002070	众和股份	--  	16.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.00	--  	0	  0.00	纺织	福建	0.00	16.00	0	0	--  	0	0	--  	
002071	长城影视	-2.59	18.04	-0.48	18.04	18.05	130171	1117	0.22	          4.15	18.42	18.77	17.80	18.52	    91.11	238268592	  0.73	影视音像	江苏	5.24	18.30	73117	57054	  1.28	232	233	--  	
002072	凯瑞德	0.69	27.69	0.19	27.69	27.70	222732	2518	-0.39	         12.66	27.95	28.50	26.55	27.50	--  	615739200	  0.92	纺织	山东	7.09	27.64	115259	107472	  1.07	247	991	--  	
002073	软控股份	-0.77	16.78	-0.13	16.77	16.78	184971	1772	-0.11	          2.97	16.73	17.19	16.63	16.91	    62.77	313169344	  0.76	软件服务	山东	3.31	16.93	99751	85220	  1.17	240	390	--  	
002074	国轩高科	0.00	37.15	0.00	37.15	37.16	149199	1927	0.02	          6.68	37.19	38.20	36.74	37.15	    72.35	558811776	  0.98	电气设备	江苏	3.93	37.45	73805	75393	  0.98	195	275	--  	
002075	沙钢股份	--  	23.57	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.57	--  	0	  0.00	特种钢	江苏	0.00	23.57	0	0	--  	0	0	--  	
002076	雪 莱 特	0.43	16.52	0.07	16.51	16.52	113403	1083	0.06	          6.23	16.26	16.97	16.23	16.45	   137.74	188646608	  0.95	家用电器	广东	4.50	16.64	58137	55266	  1.05	435	518	--  	
002077	大港股份	--  	11.40	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.40	--  	0	  0.00	区域地产	江苏	0.00	11.40	0	0	--  	0	0	--  	
002078	太阳纸业	-0.53	5.59	-0.03	5.59	5.60	246227	2012	-0.53	          1.24	5.63	5.68	5.53	5.62	    25.58	137928128	  0.82	造纸	山东	2.67	5.60	141307	104919	  1.35	1183	4269	--  	
002079	苏州固锝	1.64	9.30	0.15	9.30	9.31	279329	5464	0.43	          3.85	9.09	9.41	9.06	9.15	   383.26	258272944	  1.01	半导体	江苏	3.83	9.25	147917	131411	  1.13	1661	927	--  	
002080	中材科技	-1.71	24.78	-0.43	24.77	24.78	200274	2595	-0.64	          5.01	25.35	25.35	24.04	25.21	    27.15	494407232	  1.10	化纤	江苏	5.20	24.69	105000	95274	  1.10	15	149	--  	
002081	金 螳 螂	-1.64	16.76	-0.28	16.76	16.77	254674	2567	-0.05	          1.52	16.80	16.98	16.60	17.04	    16.59	427148160	  0.65	装修装饰	江苏	2.23	16.77	146269	108404	  1.35	10423	816	--  	
002082	栋梁新材	--  	10.21	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.21	    25.83	0	  0.00	铝	浙江	0.00	10.21	0	0	--  	0	0	--  	
002083	孚日股份	2.14	7.65	0.16	7.65	7.66	625946	4560	0.26	          7.41	7.48	7.75	7.44	7.49	    24.19	475776288	  1.65	纺织	山东	4.14	7.60	266027	359918	  0.74	3880	4288	--  	
002084	海鸥卫浴	5.25	13.02	0.65	13.00	13.02	275531	6614	0.23	          7.45	12.29	13.12	12.23	12.37	    98.97	350901664	  1.57	家居用品	广东	7.19	12.74	125095	150436	  0.83	1267	349	--  	
002085	万丰奥威	-2.94	34.06	-1.03	34.06	34.07	107131	1141	-0.05	          1.29	35.12	35.27	33.50	35.09	    53.23	365858528	  0.87	汽车配件	浙江	5.04	34.15	59735	47395	  1.26	442	168	--  	
002086	东方海洋	2.35	29.63	0.68	29.62	29.63	116692	576	-0.20	          4.91	28.80	29.97	28.18	28.95	   175.50	344858112	  0.86	渔业	山东	6.18	29.55	62453	54239	  1.15	18	358	--  	
002087	新野纺织	1.05	7.72	0.08	7.71	7.72	137818	1071	0.12	          2.65	7.59	7.77	7.52	7.64	    29.74	105899944	  0.85	纺织	河南	3.27	7.68	76671	61146	  1.25	735	1293	--  	
002088	鲁阳节能	-2.35	16.21	-0.39	16.20	16.21	34217	680	0.06	          2.56	16.50	16.65	16.00	16.60	    83.81	56032356	  0.64	矿物制品	山东	3.92	16.38	21008	13209	  1.59	167	48	--  	
002089	新 海 宜	-1.71	17.26	-0.30	17.25	17.26	157375	1569	-0.11	          3.30	17.45	17.88	17.11	17.56	    74.58	275307744	  0.77	通信设备	江苏	4.38	17.49	83970	73405	  1.14	331	280	--  	
002090	金智科技	-2.04	36.90	-0.77	36.90	36.91	64059	907	-0.05	          3.35	37.55	37.55	35.90	37.67	    62.23	235317824	  0.76	软件服务	江苏	4.38	36.73	36398	27661	  1.32	0	191	--  	
002091	江苏国泰	--  	26.22	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	26.22	    38.40	0	  0.00	商贸代理	江苏	0.00	26.22	0	0	--  	0	0	--  	
002092	中泰化学	-2.89	10.08	-0.30	10.08	10.09	351545	6648	-0.19	          2.83	10.29	10.38	10.03	10.38	   210.48	357778784	  0.35	化工原料	新疆	3.37	10.18	196623	154921	  1.27	311	3804	--  	
002093	国脉科技	-2.62	13.40	-0.36	13.39	13.40	155495	2018	0.07	          1.82	13.64	13.73	13.30	13.76	   354.91	210171824	  0.71	电信运营	福建	3.13	13.52	86487	69008	  1.25	330	1405	--  	
002094	青岛金王	--  	13.14	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.14	    39.12	0	  0.00	日用化工	山东	0.00	13.14	0	0	--  	0	0	--  	
002095	生 意 宝	-3.20	78.63	-2.60	78.63	78.64	124295	1510	-0.05	          4.94	80.50	81.00	76.99	81.23	   698.48	982628032	  0.57	互联网	浙江	4.94	79.06	63257	61038	  1.04	146	37	--  	
002096	南岭民爆	3.49	23.99	0.81	23.98	23.99	45828	1846	0.37	          1.24	23.00	24.00	22.58	23.18	    77.19	106359784	  0.86	化工原料	湖南	6.13	23.21	22969	22858	  1.00	90	431	--  	
002097	山河智能	-0.19	10.44	-0.02	10.44	10.45	220798	2754	0.00	          3.51	10.39	10.64	10.28	10.46	--  	231358400	  0.71	工程机械	湖南	3.44	10.48	115394	105404	  1.09	172	1700	--  	
002098	浔兴股份	0.75	14.82	0.11	14.80	14.82	56446	912	-0.26	          1.82	14.67	15.10	14.27	14.71	    56.76	83103936	  0.62	服饰	福建	5.64	14.72	28939	27506	  1.05	47	27	--  	
002099	海翔药业	0.67	19.67	0.13	19.66	19.67	127417	1138	0.05	          3.20	19.59	19.99	19.50	19.54	    24.87	251783376	  0.88	化学制药	浙江	2.51	19.76	64143	63273	  1.01	1827	249	--  	
002100	天康生物	-1.59	9.90	-0.16	9.89	9.90	109970	2331	-0.10	          2.32	9.98	10.05	9.83	10.06	    33.83	109151960	  0.77	饲料	新疆	2.19	9.93	67518	42452	  1.59	366	52	--  	
002101	广东鸿图	0.79	26.81	0.21	26.80	26.81	76955	929	-0.03	          4.01	26.55	27.55	26.21	26.60	    43.30	207785680	  0.97	机械基件	广东	5.04	27.00	39429	37525	  1.05	33	601	--  	
002102	冠福股份	--  	9.95	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.95	   101.04	0	  0.00	陶瓷	福建	0.00	9.95	0	0	--  	0	0	--  	
002103	广博股份	--  	17.52	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	17.52	    75.18	0	  0.00	文教休闲	浙江	0.00	17.52	0	0	--  	0	0	--  	
002104	恒宝股份	-2.35	19.92	-0.48	19.92	19.93	205634	4382	0.10	          3.76	20.29	20.45	19.78	20.40	    47.08	413073760	  0.65	元器件	江苏	3.28	20.09	114761	90872	  1.26	860	378	--  	
