代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	
000589	黔轮胎Ａ	-1.40	7.03	-0.10	7.03	7.04	167223	1490	0.00	          2.24	7.10	7.11	6.95	7.13	    50.80	117847912	  0.74	汽车配件	贵州	2.24	7.05	101531	65692	  1.55	485	592	--  	
000590	*ST古汉	-0.26	23.30	-0.06	23.29	23.30	25728	541	0.04	          1.15	23.36	23.80	23.06	23.36	   123.90	60283036	  0.81	中成药	湖南	3.17	23.43	13123	12605	  1.04	32	249	--  	
000591	桐 君 阁	-2.48	21.20	-0.54	21.19	21.20	66214	677	0.00	          2.41	21.74	21.91	20.91	21.74	  4035.70	141198080	  0.75	医药商业	重庆	4.60	21.32	37980	28234	  1.35	43	728	--  	
000592	平潭发展	-0.81	20.79	-0.17	20.79	20.80	188649	4901	0.72	          2.25	21.00	21.00	20.41	20.96	   426.03	390343104	  0.73	林业	福建	2.81	20.69	102563	86086	  1.19	345	462	--  	
000593	大通燃气	3.40	11.85	0.39	11.84	11.85	150634	773	-0.08	          6.75	11.41	12.13	11.39	11.46	   257.05	178725280	  1.61	供气供热	四川	6.46	11.86	75343	75290	  1.00	191	418	--  	
000595	宝塔实业	--  	11.27	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.27	--  	0	  0.00	机械基件	宁夏	0.00	11.27	0	0	--  	0	0	--  	
000596	古井贡酒	-1.73	33.49	-0.59	33.39	33.49	27683	800	0.90	          0.72	33.97	34.07	32.92	34.08	    25.27	92720984	  1.07	白酒	安徽	3.37	33.49	17860	9822	  1.82	1	59	--  	
000597	东北制药	0.75	9.43	0.07	--  	--  	65957	9	0.00	          1.50	9.23	9.59	9.23	9.36	--  	62295576	  0.58	化学制药	辽宁	3.85	9.44	35994	29962	  1.20	0	0	--  	
000598	兴蓉环境	-1.88	7.30	-0.14	7.30	7.31	514306	7792	0.13	          1.72	7.39	7.44	7.21	7.44	    22.43	377258080	  0.74	水务	四川	3.09	7.34	282960	231346	  1.22	938	2928	--  	
000599	青岛双星	-0.59	8.36	-0.05	8.35	8.36	224272	5244	-0.23	          3.57	8.34	8.43	8.20	8.41	   100.39	186339488	  0.76	汽车配件	山东	2.73	8.31	119384	104887	  1.14	30	328	--  	
